,product_sub_group_id,product_sub_group_coef_sales,sale_date_id,reg_date_count,cheque_id_x,cheque_id_y
406,788,4535.616821915313,28,0,1813,145
407,789,806.5747882840025,28,0,1998,300
408,790,500.0,19,9,36,4
409,793,143.9544807965861,20,8,75,24
410,794,909.0909090909091,13,15,19,1
411,795,3638.7058576306804,28,0,468,152
412,799,1403.703703703704,28,0,149,9
413,801,47.79620181405896,6,22,14,112
414,802,1923.5377956605837,28,0,4070,2377
415,803,476.47058823529414,9,19,49,4
416,805,3101.497215156971,28,0,19931,3828
417,806,1658.296144846258,28,0,2402,1348
418,810,5700.732715112464,17,11,925,607
419,814,25.557645523778525,10,18,29,167
420,821,37.976190476190474,4,24,6,61
421,824,13.16506630006995,25,3,196,2159
422,825,99.15343915343915,4,24,9,53
423,827,32.261014630136934,13,15,52,239
424,828,37.034994224291985,28,0,385,891
425,831,169.45545815984926,28,0,2113,9165
426,832,2.7777777777777777,1,27,2,45
427,833,172.81819720133984,28,0,972,3325
428,835,776.374709909889,28,0,15143,19387
429,840,14.778891795020826,10,18,26,242
430,841,6.648449665997326,15,13,75,1296
431,843,386.08739646280503,23,5,1310,1732
432,846,10.950943430838043,7,21,17,433
433,847,1137.0058574615734,22,6,584,992
434,850,575.0650899094486,28,0,7311,8375
435,851,614.2177150683694,28,0,18530,660299
436,852,2117.9642406940334,27,1,4004,16044
437,853,100.0,1,27,1,4
438,854,95.05913546681626,17,11,306,1022
439,857,26.21458087367178,10,18,22,216
440,859,44.43729196729197,11,17,77,519
441,860,36.364574123194814,8,20,24,247
442,861,34.92599731295432,15,13,81,854
443,865,1942.7684598148344,22,6,139,389
444,869,141.67048478561838,23,5,78,465
445,872,8.922239251333913,23,5,656,13314
446,875,73.80647523733975,20,8,270,1906
447,884,-100.0,1,27,1,1
448,885,5.760667599298635,28,0,662,11706
449,886,39.795039909634696,7,21,23,117
450,887,12.518253219057994,11,17,36,1291
451,888,320.8366711635307,28,0,3606,3347
452,890,160.07672993748676,18,10,569,897
453,896,0.28997720965656903,8,20,273,97725
454,899,0.44803817603393425,4,24,4,1072
455,919,-100.0,1,27,1,1
456,921,45.58564452898452,6,22,21,56
457,923,6.051515151515152,3,25,8,161
458,924,42.87717738610595,8,20,29,89
459,925,391.3010435796163,28,0,23975,5877
460,926,92.48131940032066,25,3,2129,5570
461,927,4467.6778406009325,28,0,49983,11585
462,928,86.58202066041946,25,3,1415,2226
463,929,326.1465324324732,28,0,9255,5158
464,930,173.36231152943728,22,6,2224,1477
465,931,178.52213666442964,27,1,9394,9015
466,932,6.997929606625259,6,22,13,182
467,933,484.4374842703922,28,0,21028,4214
468,934,16.70441742637642,14,14,186,1911
469,935,97.4997016018445,20,8,530,651
470,936,114.06207498645536,28,0,2362,4729
471,937,-114.41647597254006,2,26,2,11
472,938,24.560101207975084,8,20,35,199
473,941,10106.701310291975,28,0,9336,5267
474,942,4.965276884160834,13,15,139,2622
475,943,45906.830119728795,28,0,59794,88074
476,944,1.1965334783575816,28,0,885,65979
477,947,36.616072764251406,13,15,52,551
478,948,13.858855091147548,15,13,202,1093
479,949,190.2348123459161,10,18,467,980
480,950,33.82358779971269,9,19,29,302
481,951,14.544815166329656,12,16,98,759
482,952,6.677777256753366,17,11,347,4929
483,953,45582.88253896548,28,0,35461,25935
484,954,7.383648636143299,14,14,85,1235
485,955,236.1472081235205,10,18,36,334
486,956,8.12916307101899,12,16,28,260
487,957,2223.9287205908277,28,0,4582,6586
488,960,30.207302242934016,15,13,72,707
489,961,30.809064897819162,14,14,80,347
490,962,2001.5167374190694,28,0,1470,1491
491,963,124.39237238966395,28,0,16766,15562
492,964,91.46986843538568,3,25,6,195
493,966,17.374727668845317,8,20,17,45
494,968,95.63149013499479,12,16,80,158
495,969,72.00999929949171,12,16,132,305
496,973,50.0,1,27,3,12
497,976,141.96390492536537,13,15,99,95
498,980,56.578947368421055,8,20,20,103
499,982,166.66666666666666,1,27,4,4
500,985,162.2077014024923,28,0,1140,1370
501,986,85.16684402843164,28,0,3636,4550
502,987,46.87311539922483,6,22,11,43
503,988,113.1498775339566,27,1,292,577
504,989,150.15147388643462,26,2,351,399
505,993,40.773585840139475,28,0,1691,4020
506,994,364.6943412059657,28,0,2293,1216
507,995,26.43719675598674,28,0,611,1229
508,996,632.9153472550813,28,0,2445,736
509,997,465.6310977445768,28,0,483,536
510,998,309.9027588699334,28,0,2177,3535
511,999,41.49591149591149,8,20,31,154
512,1000,38.04545454545455,6,22,10,54
513,1002,400.0,5,23,13,2
514,1005,6.0606060606060606,2,26,2,71
515,1009,-75.0,3,25,3,4
516,1010,100.0,1,27,1,4
517,1012,115.39432789432789,28,0,545,452
518,1013,164.09652398735994,28,0,507,296
519,1014,258.2708020309517,28,0,6366,8606
520,1015,668.5148912529344,28,0,3232,1417
521,1016,248.11095273996617,28,0,2839,4984
522,1017,425.87156893545307,26,2,574,529
523,1018,421.2721739993792,28,0,16800,13006
524,1020,1306.6666666666667,10,18,14,3
525,1021,14.732754791211903,11,17,27,323
526,1022,59.02777777777778,7,21,8,28
527,1023,67.93154761904762,9,19,19,47
528,1024,99.68956429378278,28,0,4131,6107
529,1027,6.9306930693069315,4,24,7,101
530,1029,42.33081245084484,11,17,79,201
531,1030,5.218613213261141,20,8,245,4023
532,1031,6.199953965342642,8,20,52,1182
533,1032,287.62817738467476,28,0,2107,2351
534,1034,-0.04752506897162135,1,27,1,4211
535,1047,327.1851309666963,20,8,2093,618
536,1048,134.16666666666666,6,22,13,34
537,1049,3065.80389938717,28,0,1455,663
538,1052,103.03713998516047,25,3,2741,10044
539,1053,271.6627454142391,28,0,28646,22542
540,1054,383.95636651008493,28,0,12115,7659
541,1056,110.67944197260462,28,0,10489,10079
542,1058,107.08161133478276,23,5,4923,5430
543,1059,87.43302425702986,28,0,17063,25153
544,1062,135.97738599399653,12,16,94,201
545,1070,25.0,2,26,2,8
546,1074,50.70682338076587,26,2,150,210
547,1075,6.035198545908834,28,0,895,27864
548,1078,148.81529743961536,15,13,1249,718
549,1079,10.85743894169368,18,10,59,614
550,1081,180.28560753470867,19,9,1061,540
551,1082,2.658946502361827,7,21,17,809
552,1085,1148.3204016214063,28,0,2436,784
553,1086,544.5003719191025,23,5,334,135
554,1087,20183.7526546606,28,0,66259,38383
555,1088,3.5693061952161638,21,7,186,4572
556,1089,40.788510800958285,28,0,23599,41172
557,1090,1987.6827794686717,24,4,3247,2965
558,1091,7524.323359160736,28,0,10964,2027
559,1092,12445.22628157123,28,0,8328,939
560,1094,2384.611464736663,28,0,23239,4978
561,1095,2098.052491490843,28,0,5733,3006
562,1096,1724.0796770295203,28,0,3150,1390
563,1097,9823.510986048474,28,0,31199,3260
